TicketID,CustID,OrderID,ProductName,ProductCategory,CustFirstName,CustPhone,Status,IssueCategory,Issue,DateOpened,DateClosed,HoursTaken,FirstResponseTime,Replies,CustomerSatisfaction(%)
150,531,727,at velit,Household & Baby Care,Dulce,+1 817 580 1413,Open,Info,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",56:00.0,36:00.0,26.66,41,,
151,111,353,adipiscing,Industrial & Scientific,De,+1 912 214 6241,Open,Received the wrong product,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,38:00.0,17:00.0,53.65,37,,
152,775,937,tempus,Garden & Outdoor,Phedra,+1 806 192 9148,Open,Part missing,In quis justo. Maecenas rhoncus aliquam lacus.,59:00.0,22:00.0,5.38,9,,
153,440,970,mauris ullamcorper,Grocery & Gourmet Food,Mureil,+1 202 560 9012,Open,Other,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,50:00.0,32:00.0,38.71,15,,
154,673,97,at nunc,Cell Phones & Accessories,Tallou,+1 217 103 2743,Open,Damaged product,Praesent id massa id nisl venenatis lacinia.,47:00.0,42:00.0,22.91,17,,
155,667,54,quis,Appliances,Casey,+1 703 163 2412,Closed,Received the wrong product,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",59:00.0,45:00.0,25.76,29,,
156,965,592,morbi odio,Clothing,Andrea,+1 714 269 5856,Open,Damaged product,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,49:00.0,33:00.0,68.73,18,,
157,223,649,adipiscing,Household & Baby Care,Ignatius,+1 702 183 9563,Open,Info,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,09:00.0,20:00.0,33.19,33,,
158,861,272,sit amet justo,Beauty & Personal Care,Ernst,+1 210 631 7443,Open,Part missing,Nullam sit amet turpis elementum ligula vehicula consequat.,19:00.0,48:00.0,7.49,26,,
159,51,667,sit,Beauty & Personal Care,Doroteya,+1 469 746 4867,Open,Info,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",18:00.0,34:00.0,16.27,43,,
160,706,346,eu est congue,Grocery & Gourmet Food,Dorie,+1 217 729 4835,Open,Received the wrong product,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,07:00.0,59:00.0,63.88,41,,
161,843,822,consectetuer adipiscing elit,Clothing,Dorey,+1 720 867 3990,Open,Part missing,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,36:00.0,53:00.0,45.28,35,,
162,379,707,lectus vestibulum,Toys & Games,Vallie,+1 301 479 5439,Open,Received the wrong product,Sed accumsan felis. Ut at dolor quis odio consequat varius.,54:00.0,29:00.0,12.58,14,,
163,424,394,turpis,Toys & Games,Beth,+1 215 292 3530,Closed,Damaged product,Duis mattis egestas metus. Aenean fermentum.,23:00.0,00:00.0,51.61,20,,
164,680,20,natoque penatibus et,Grocery & Gourmet Food,Alys,+1 352 613 4893,Open,Part missing,Duis consequat dui nec nisi volutpat eleifend.,54:00.0,15:00.0,64.35,17,,
165,608,376,non quam,Garden & Outdoor,Carmencita,+1 661 940 9887,Closed,Damaged product,Praesent blandit.,04:00.0,37:00.0,40.55,10,,
166,448,961,eleifend donec,Clothing,Burlie,+1 316 347 0193,Closed,Part missing,Quisque ut erat.,28:00.0,08:00.0,62.67,25,,
167,8,689,montes nascetur ridiculus,Grocery & Gourmet Food,Jesse,+1 214 173 4838,Open,Damaged product,Nulla mollis molestie lorem. Quisque ut erat.,04:00.0,10:00.0,59.09,23,,
168,950,728,nam,Toys & Games,Meggie,+1 913 382 8531,Open,Received the wrong product,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,43:00.0,53:00.0,14.18,27,,
169,917,752,faucibus,Clothing,Jillene,+1 443 353 9199,Closed,Different from product description,Sed vel enim sit amet nunc viverra dapibus.,05:00.0,37:00.0,15.54,43,,
170,420,402,orci eget,Toys & Games,Efren,+1 850 921 1407,Open,Different from product description,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,32:00.0,59:00.0,17.45,12,,
171,686,444,tincidunt lacus,Cell Phones & Accessories,Alec,+1 317 712 3887,Open,Part missing,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",52:00.0,03:00.0,61.18,42,,
172,15,436,dapibus duis,Clothing,Chaddie,+1 214 692 7922,Open,Other,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",43:00.0,26:00.0,31.73,14,,
173,47,397,imperdiet sapien urna,Industrial & Scientific,Quentin,+1 773 250 2225,Open,Part missing,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",59:00.0,14:00.0,69.25,44,,
174,545,552,in,Industrial & Scientific,Carmelia,+1 314 293 4682,Open,Info,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",15:00.0,41:00.0,67.44,39,,
175,234,122,ut erat id,Household & Baby Care,Monty,+1 205 472 9122,Open,Received the wrong product,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,29:00.0,06:00.0,21.62,11,,
176,895,962,non quam,Cell Phones & Accessories,Eydie,+1 408 946 6659,Open,Other,Aenean lectus. Pellentesque eget nunc.,35:00.0,38:00.0,63.04,18,,
177,311,32,rutrum,Home & Kitchen,Ginelle,+1 614 837 2018,Open,Different from product description,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",00:00.0,34:00.0,21.56,17,,
178,621,604,lorem ipsum,Industrial & Scientific,Tedda,+1 312 823 3215,Closed,Info,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",04:00.0,46:00.0,13.69,8,,
179,477,724,porttitor lacus,Computers,Geoffrey,+1 217 929 1390,Closed,Received the wrong product,Sed accumsan felis.,20:00.0,58:00.0,48.63,6,,
180,451,972,sed,Garden & Outdoor,Nollie,+1 915 911 9264,Open,Other,Proin eu mi.,22:00.0,50:00.0,41.47,40,,
181,511,541,sed augue,Garden & Outdoor,Harmonia,+1 831 260 6750,Open,Part missing,In blandit ultrices enim.,51:00.0,58:00.0,66.11,19,,
182,675,941,amet diam in,Industrial & Scientific,Emmy,+1 571 838 3886,Open,Part missing,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",51:00.0,46:00.0,42.92,30,,
183,235,575,vivamus vel nulla,Clothing,Wyatt,+1 619 827 5831,Open,Other,Phasellus sit amet erat. Nulla tempus.,14:00.0,02:00.0,53.8,29,,
184,483,203,imperdiet nullam,Household & Baby Care,Simon,+1 559 620 8859,Open,Info,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,18:00.0,30:00.0,6.2,6,,
185,266,815,montes,Household & Baby Care,Ev,+1 305 852 6094,Open,Different from product description,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,36:00.0,15:00.0,34.65,39,,
186,534,948,tincidunt nulla mollis,Electronics,Edgard,+1 916 968 0677,Open,Received the wrong product,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",46:00.0,31:00.0,60.75,18,,
187,68,709,nulla eget,Beauty & Personal Care,Yovonnda,+1 205 425 3074,Open,Info,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,46:00.0,41:00.0,30.92,40,,
188,916,579,platea dictumst,Beauty & Personal Care,Ben,+1 248 692 0299,Open,Damaged product,Integer a nibh.,11:00.0,38:00.0,52.46,29,,
189,9,222,pede,Books,Juliet,+1 347 776 2905,Open,Different from product description,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",11:00.0,19:00.0,27.13,5,,
190,453,240,vel dapibus,Cell Phones & Accessories,Neila,+1 304 382 8609,Open,Received the wrong product,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,35:00.0,35:00.0,67,22,,
191,315,90,aliquam erat,Computers,Kyrstin,+1 617 468 1376,Closed,Different from product description,Phasellus sit amet erat.,25:00.0,39:00.0,43.22,33,,
192,689,990,nisl duis ac,Garden & Outdoor,Diandra,+1 718 702 8608,Open,Different from product description,Nulla mollis molestie lorem. Quisque ut erat.,32:00.0,14:00.0,42.7,19,,
193,222,238,penatibus et magnis,Appliances,Kinnie,+1 904 394 0882,Closed,Part missing,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",03:00.0,07:00.0,55.07,27,,
194,86,428,vestibulum eget vulputate,Electronics,Lezlie,+1 817 142 8402,Open,Other,Duis ac nibh.,22:00.0,32:00.0,26.16,26,,
195,207,435,at velit,Household & Baby Care,Penelopa,+1 713 288 9356,Open,Part missing,Nullam porttitor lacus at turpis.,07:00.0,10:00.0,9.04,6,,
196,718,96,orci eget,Clothing,Franni,+1 646 696 5859,Open,Received the wrong product,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",45:00.0,48:00.0,61.05,40,,
197,89,81,sit amet diam,Grocery & Gourmet Food,Brigit,+1 313 980 2949,Open,Damaged product,Vivamus in felis eu sapien cursus vestibulum.,42:00.0,48:00.0,55.09,7,,
198,180,7,felis,Toys & Games,Cathi,+1 202 452 8349,Open,Damaged product,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",49:00.0,27:00.0,33.62,39,,
199,340,852,nisl,Cell Phones & Accessories,Ferrel,+1 972 411 2756,Open,Damaged product,Proin eu mi.,59:00.0,03:00.0,70.07,6,,
200,225,345,id,Books,Renaldo,+1 210 263 3170,Open,Info,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",22:00.0,04:00.0,16.69,17,,
201,246,642,ac lobortis vel,Household & Baby Care,Winnie,+1 617 979 0013,Open,Part missing,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,41:00.0,03:00.0,23.35,32,,
202,660,757,libero ut massa,Industrial & Scientific,Cassandra,+1 520 259 9552,Open,Damaged product,Nulla facilisi.,16:00.0,44:00.0,16.46,34,,
203,845,622,nam,Toys & Games,Theo,+1 859 205 9677,Open,Part missing,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",47:00.0,02:00.0,8.24,11,,
204,624,220,at nibh in,Electronics,Joelly,+1 318 733 3686,Open,Different from product description,Praesent blandit.,59:00.0,57:00.0,63.96,22,,
205,258,448,iaculis congue vivamus,Clothing,Natasha,+1 330 888 9949,Open,Different from product description,In eleifend quam a odio.,05:00.0,27:00.0,71.38,7,,
206,816,529,fermentum donec ut,Electronics,Vita,+1 912 549 8277,Open,Received the wrong product,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",06:00.0,17:00.0,39.18,44,,
207,78,461,ante vel ipsum,Cell Phones & Accessories,Porty,+1 713 288 8159,Open,Received the wrong product,Maecenas ut massa quis augue luctus tincidunt.,30:00.0,20:00.0,45.85,21,,
208,663,676,et,Household & Baby Care,Deidre,+1 401 925 0182,Closed,Different from product description,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,43:00.0,09:00.0,28.44,16,,
209,833,531,sit amet,Appliances,Gianni,+1 718 427 2331,Closed,Received the wrong product,Nullam sit amet turpis elementum ligula vehicula consequat.,38:00.0,47:00.0,55.16,39,,
210,277,909,non lectus,Industrial & Scientific,Jase,+1 224 363 1630,Open,Other,Morbi ut odio.,43:00.0,48:00.0,50.08,33,,
211,41,937,sed augue,Garden & Outdoor,Laurens,+1 512 916 5237,Open,Damaged product,Sed ante.,52:00.0,13:00.0,57.35,8,,
212,268,7,ultricies,Books,Amanda,+1 918 927 5215,Open,Received the wrong product,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",09:00.0,43:00.0,48.56,22,,
213,757,266,duis aliquam convallis,Clothing,Otes,+1 217 251 5733,Open,Received the wrong product,Etiam justo. Etiam pretium iaculis justo.,52:00.0,10:00.0,57.3,41,,
214,591,436,auctor,Computers,Matilde,+1 859 126 9652,Open,Received the wrong product,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",23:00.0,03:00.0,10.67,42,,
215,29,672,augue vel,Household & Baby Care,Aleksandr,+1 630 961 0367,Open,Different from product description,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",37:00.0,31:00.0,30.89,44,,
216,549,95,tempus,Electronics,Merrill,+1 480 421 6019,Open,Part missing,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",39:00.0,20:00.0,0.68,12,,
217,634,19,vivamus,Industrial & Scientific,Boy,+1 302 485 9106,Closed,Received the wrong product,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",26:00.0,49:00.0,2.38,8,,
218,911,138,at,Home & Kitchen,Gladi,+1 206 781 7182,Open,Damaged product,Donec semper sapien a libero.,45:00.0,15:00.0,3.49,9,,
219,848,382,metus sapien ut,Shoes and Jewelry,Honor,+1 415 743 6504,Open,Damaged product,Nulla ut erat id mauris vulputate elementum.,54:00.0,45:00.0,55.86,19,,
220,287,268,ultrices,Appliances,Korry,+1 401 938 4970,Open,Received the wrong product,Aliquam non mauris. Morbi non lectus.,45:00.0,23:00.0,14.63,25,,
221,648,923,leo rhoncus,Clothing,Gabey,+1 315 814 8261,Open,Different from product description,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",28:00.0,18:00.0,37.84,31,,
222,822,768,sit amet consectetuer,Shoes and Jewelry,Quinta,+1 314 560 1154,Open,Part missing,In congue. Etiam justo.,31:00.0,42:00.0,44.2,23,,
223,653,187,non,Computers,Kellia,+1 915 952 9116,Closed,Received the wrong product,Maecenas rhoncus aliquam lacus.,52:00.0,24:00.0,64.54,10,,
224,425,825,sed,Shoes and Jewelry,Lyndell,+1 210 413 0902,Open,Other,Maecenas tincidunt lacus at velit.,45:00.0,23:00.0,2.63,26,,
225,615,92,felis fusce,Health,Janith,+1 202 592 6955,Open,Part missing,Suspendisse potenti.,37:00.0,15:00.0,42.63,5,,
226,965,258,aliquet,Industrial & Scientific,Andrea,+1 714 269 5856,Open,Part missing,In hac habitasse platea dictumst.,16:00.0,44:00.0,46.47,12,,
227,22,594,metus,Beauty & Personal Care,Lacie,+1 213 725 8450,Open,Part missing,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,38:00.0,01:00.0,36.39,16,,
228,359,571,vestibulum,Household & Baby Care,Aymer,+1 727 876 9747,Open,Other,Proin risus.,09:00.0,45:00.0,27.61,13,,
229,223,962,nulla,Electronics,Ignatius,+1 702 183 9563,Open,Different from product description,Etiam justo. Etiam pretium iaculis justo.,35:00.0,25:00.0,53.85,35,,
230,176,725,elementum,Books,Kattie,+1 360 469 0362,Closed,Damaged product,Suspendisse ornare consequat lectus.,29:00.0,43:00.0,59.24,23,,
231,849,79,at turpis,Health,Paxton,+1 602 352 3860,Open,Part missing,Nullam molestie nibh in lectus.,18:00.0,11:00.0,3.87,18,,
232,329,439,platea dictumst,Health,Alberto,+1 302 107 6191,Open,Other,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",14:00.0,16:00.0,36.04,40,,
233,385,868,luctus et ultrices,Sports & Outdoors,Perl,+1 202 574 6541,Open,Other,Donec posuere metus vitae ipsum.,19:00.0,42:00.0,63.38,33,,
234,728,475,erat,Toys & Games,Nanette,+1 914 635 7744,Open,Other,Morbi porttitor lorem id ligula.,25:00.0,16:00.0,58.85,34,,
235,358,333,nec,Health,Evvy,+1 815 499 4966,Open,Info,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",41:00.0,33:00.0,51.87,33,,
236,955,186,blandit nam nulla,Garden & Outdoor,Lark,+1 720 316 3394,Open,Damaged product,Suspendisse potenti.,40:00.0,19:00.0,39.65,13,,
237,305,527,in,Books,Clemence,+1 405 931 9785,Open,Info,Praesent blandit. Nam nulla.,23:00.0,53:00.0,15.51,18,,
238,665,521,id mauris vulputate,Sports & Outdoors,Corey,+1 336 131 3652,Open,Part missing,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",57:00.0,57:00.0,15,16,,
239,430,89,morbi odio,Clothing,Fabian,+1 901 424 3606,Open,Other,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",50:00.0,11:00.0,52.36,28,,
240,671,575,cras,Toys & Games,Kalina,+1 952 110 2567,Open,Other,Morbi ut odio.,31:00.0,53:00.0,11.36,33,,
241,286,930,pellentesque,Health,Roxine,+1 918 259 9475,Open,Received the wrong product,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,16:00.0,57:00.0,43.67,5,,
242,284,75,non velit,Household & Baby Care,Illa,+1 256 452 4942,Open,Different from product description,In quis justo.,50:00.0,06:00.0,63.27,16,,
243,933,723,hac,Clothing,Calley,+1 504 982 0419,Open,Damaged product,Nullam molestie nibh in lectus. Pellentesque at nulla.,23:00.0,28:00.0,51.09,6,,
244,93,292,vel augue vestibulum,Sports & Outdoors,Hansiain,+1 513 206 0557,Open,Part missing,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,59:00.0,11:00.0,41.2,24,,
245,189,326,libero nam dui,Books,Lorinda,+1 336 886 2055,Open,Different from product description,Duis bibendum. Morbi non quam nec dui luctus rutrum.,04:00.0,27:00.0,16.38,41,,
246,253,607,eget,Computers,Tracey,+1 330 596 8621,Open,Info,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",28:00.0,01:00.0,5.54,23,,
247,482,996,convallis,Books,Jada,+1 281 471 2023,Open,Other,In eleifend quam a odio. In hac habitasse platea dictumst.,38:00.0,44:00.0,51.11,13,,
248,899,602,hac habitasse,Books,Jammal,+1 407 427 7443,Open,Other,Morbi non quam nec dui luctus rutrum. Nulla tellus.,28:00.0,44:00.0,42.28,27,,
249,641,364,vel,Shoes and Jewelry,Denver,+1 610 293 8872,Closed,Damaged product,In hac habitasse platea dictumst.,46:00.0,47:00.0,62.01,26,,
250,229,192,quam,Clothing,Zorine,+1 614 945 1093,Open,Info,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,36:00.0,56:00.0,65.32,30,,
251,154,941,consequat lectus in,Home & Kitchen,Clerc,+1 626 882 7068,Closed,Damaged product,Sed vel enim sit amet nunc viverra dapibus.,11:00.0,11:00.0,36.99,22,,
252,432,151,vulputate justo,Home & Kitchen,Malory,+1 315 199 2092,Closed,Info,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,27:00.0,57:00.0,58.5,11,,
253,636,856,vel lectus in,Computers,Leonora,+1 312 732 7336,Open,Info,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",46:00.0,19:00.0,9.54,21,,
254,760,146,faucibus,Household & Baby Care,Viole,+1 757 363 5086,Open,Different from product description,Integer ac leo. Pellentesque ultrices mattis odio.,49:00.0,53:00.0,48.07,17,,
255,725,230,ante ipsum primis,Books,Brandea,+1 513 997 9693,Open,Damaged product,Sed ante. Vivamus tortor.,26:00.0,48:00.0,7.37,29,,
256,790,643,lacus morbi,Appliances,Minni,+1 415 322 3152,Open,Info,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",58:00.0,12:00.0,20.22,44,,
257,825,69,et commodo vulputate,Computers,Wald,+1 419 699 2987,Open,Different from product description,Morbi porttitor lorem id ligula.,02:00.0,31:00.0,56.48,5,,
258,940,114,odio elementum,Grocery & Gourmet Food,Rand,+1 405 904 1071,Open,Received the wrong product,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",27:00.0,01:00.0,45.57,36,,
259,302,655,ac leo pellentesque,Sports & Outdoors,Katrina,+1 901 243 5454,Closed,Received the wrong product,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",47:00.0,36:00.0,30.82,29,,
260,119,495,auctor gravida sem,Electronics,Peyton,+1 443 940 5771,Closed,Part missing,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,26:00.0,30:00.0,6.06,36,,
261,503,838,nonummy maecenas,Grocery & Gourmet Food,Pierrette,+1 614 226 1722,Open,Other,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",37:00.0,26:00.0,26.83,22,,
262,210,726,mauris sit,Shoes and Jewelry,Lucias,+1 562 338 6158,Open,Part missing,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,32:00.0,32:00.0,44,44,,
263,464,530,ipsum primis in,Beauty & Personal Care,Alexandr,+1 352 225 5340,Open,Part missing,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,37:00.0,25:00.0,50.8,35,,
264,21,352,curae donec pharetra,Garden & Outdoor,Althea,+1 619 347 7201,Open,Damaged product,Proin at turpis a pede posuere nonummy.,32:00.0,20:00.0,56.81,33,,
265,460,736,in congue etiam,Garden & Outdoor,Lelah,+1 478 308 8317,Open,Part missing,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,32:00.0,04:00.0,23.55,26,,
266,431,918,faucibus,Clothing,Demetria,+1 305 234 1765,Open,Received the wrong product,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,16:00.0,27:00.0,65.19,13,,
267,659,631,odio consequat,Grocery & Gourmet Food,Torrey,+1 770 387 9424,Closed,Info,In congue.,52:00.0,57:00.0,22.09,20,,
268,14,249,ut massa,Industrial & Scientific,Hercule,+1 502 709 5265,Open,Other,Vestibulum sed magna at nunc commodo placerat.,17:00.0,10:00.0,41.89,34,,
269,732,422,nulla nunc purus,Grocery & Gourmet Food,Wren,+1 718 426 7978,Open,Info,Sed ante.,21:00.0,46:00.0,21.42,40,,
270,490,551,potenti cras in,Grocery & Gourmet Food,Ame,+1 405 771 6030,Closed,Received the wrong product,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",46:00.0,53:00.0,53.12,24,,
271,36,923,sapien in sapien,Electronics,Samantha,+1 623 475 6277,Closed,Info,Donec quis orci eget orci vehicula condimentum.,14:00.0,17:00.0,43.05,14,,
272,484,971,non velit,Household & Baby Care,Timmi,+1 253 161 4731,Open,Received the wrong product,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,28:00.0,53:00.0,9.42,13,,
273,797,472,ac consequat metus,Home & Kitchen,Heinrik,+1 763 120 1202,Open,Part missing,Phasellus sit amet erat. Nulla tempus.,25:00.0,07:00.0,58.69,42,,
274,232,135,duis at velit,Sports & Outdoors,Lorena,+1 812 851 7635,Open,Info,Fusce consequat. Nulla nisl.,13:00.0,05:00.0,50.86,26,,
275,205,283,vel,Grocery & Gourmet Food,Joaquin,+1 330 242 2304,Open,Different from product description,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",20:00.0,58:00.0,31.63,28,,
276,353,276,euismod,Household & Baby Care,Erna,+1 202 809 0380,Open,Received the wrong product,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",13:00.0,14:00.0,64.02,30,,
277,17,980,quis justo,Garden & Outdoor,Jessalyn,+1 859 514 2486,Open,Info,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",47:00.0,38:00.0,22.85,37,,
278,879,404,primis,Shoes and Jewelry,Ricard,+1 713 606 2691,Open,Received the wrong product,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,20:00.0,50:00.0,12.51,32,,
279,974,895,eu interdum eu,Grocery & Gourmet Food,Charmian,+1 601 794 7054,Open,Other,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,27:00.0,26:00.0,47,27,,
280,292,719,non quam,Cell Phones & Accessories,Terrijo,+1 585 645 2463,Open,Damaged product,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",57:00.0,06:00.0,42.15,10,,
281,977,992,pellentesque quisque porta,Household & Baby Care,Loni,+1 319 166 9045,Open,Received the wrong product,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",11:00.0,13:00.0,21.02,19,,
282,714,439,lobortis ligula sit,Grocery & Gourmet Food,Tonya,+1 330 351 0781,Open,Different from product description,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",50:00.0,02:00.0,19.2,44,,
283,782,693,phasellus,Home & Kitchen,Mason,+1 202 806 8608,Open,Damaged product,Nullam molestie nibh in lectus. Pellentesque at nulla.,24:00.0,25:00.0,68.03,27,,
284,788,37,aliquam non,Sports & Outdoors,Ashlie,+1 520 815 4435,Open,Info,Sed sagittis.,28:00.0,15:00.0,41.79,41,,
285,234,733,ut dolor,Industrial & Scientific,Monty,+1 205 472 9122,Open,Other,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,08:00.0,11:00.0,31.05,13,,
286,945,358,sit amet,Computers,Nestor,+1 601 539 9064,Closed,Part missing,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,35:00.0,35:00.0,28,10,,
287,597,953,lectus vestibulum quam,Computers,Minta,+1 214 577 8757,Closed,Part missing,Fusce consequat. Nulla nisl.,33:00.0,,,19,,
288,970,410,nisi at,Toys & Games,Joyan,+1 814 427 9188,Open,Different from product description,Proin eu mi. Nulla ac enim.,21:00.0,45:00.0,4.39,23,,
289,886,564,vehicula,Sports & Outdoors,Britt,+1 517 252 5701,Open,Different from product description,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",27:00.0,49:00.0,58.37,20,,
290,156,689,sagittis,Home & Kitchen,Cale,+1 806 894 7831,Closed,Received the wrong product,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,12:00.0,25:00.0,53.21,25,,
291,634,441,sapien dignissim vestibulum,Health,Boy,+1 302 485 9106,Closed,Received the wrong product,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",32:00.0,15:00.0,70.72,40,,
292,888,172,ultrices,Appliances,Addie,+1 773 776 2379,Open,Info,Etiam justo.,54:00.0,50:00.0,66.92,38,,
293,385,415,sit,Beauty & Personal Care,Perl,+1 202 574 6541,Closed,Damaged product,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,38:00.0,19:00.0,4.68,27,,
294,752,81,donec odio,Beauty & Personal Care,Andrew,+1 607 938 3481,Open,Different from product description,Vestibulum sed magna at nunc commodo placerat.,17:00.0,38:00.0,25.35,23,,
